id,name,description,image,type,damage_type,passive_effect,dlc
ammo_26,Meteor Bolt,"Enchanted work of craft made in tandem with Full Moon Crossbow. The tip is embedded with glintstone. Like a shooting star, these bolts leave a beautiful trail when fired. Deals magic damage.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/meteor_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_27,Explosive Greatbolt,"Greatbolt tipped with a clump of Explosive Stone shards. Detonates a large explosion on impact, dealing fire damage.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/explosive_greatbolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,,0
ammo_28,Serpent Arrow,"Arrow carved to resemble a flying snake. Used in tandem with the Serpent Bow. Loyal minions of the Formless Serpents, their fangs are daubed with deadly poison.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/serpent_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes heavy poison buildup (78),0
ammo_29,Lightning Greatbolt,Greatbolt tipped with a clump of Gravel Stone shards. Deals powerful lightning damage.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightning_greatbolt_greatbolt-elden-ring-wiki-guide-200.png,Greatbolt,Pierce,,0
ammo_30,Rainbow Stone Arrow,Arrow whittled from animal bones tipped with chips of Rainbow Stone. Colored light shines at the point of impact. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rainbow_stone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_31,Shattershard Arrow (Fletched),Arrow whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shattershard_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_32,Explosive Bolt,"Bolt tipped with a shard of Explosive Stone. Explodes on impact, dealing fire damage.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/explosive_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_33,Burred Bolt,"Bolt covered in thorns. One of the most horrific weapons used in the Shattering. Afflicts with blood loss. Diffcult to remove once buried in flesh, causes appalling damage to the body",http://eldenring.wiki.fextralife.com/file/Elden-Ring/burred_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes blood loss buildup (65),0
ammo_34,Spiritflame Arrow,"Arrow set alight with ghostflame before firing. Deals magic damage while also afflicting foes with frost. Used by the Company of the Fallen Hawk, once ordered to explore the Eternal City.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/spiritflame_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes frost build up (65),0
ammo_35,Magicbone Arrow,Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_36,Magicbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with a glintstone tincture. Deals magic damage. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_37,Lightningbone Arrow,Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_38,Lightningbone Arrow (Fletched),Arrow whittled from animal bones with a lightning-infused tip. Deals lightning damage. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_39,Bloodbone Arrow,Arrow whittled from animal bones. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes blood loss build up (55),0
ammo_40,Bloodbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bloodbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes blood loss build up (55),0
ammo_41,Shattershard Arrow,Arrow whittled from animal bones tipped with a shard of crystal. Creates a resonating noise at the point of impact. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/shattershard_arrow__elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_42,Golem's Great Arrow,"Greatarrow of black stone crafted by a civilization now gone to ruin. Used by the Guardian Golem.This hefty arrow is enrobed in tempestuous winds, allowing it to break enemy stances and guards with ease.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/golems_great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,,0
ammo_43,Haligbone Arrow,Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_44,Haligbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with a golden tincture. Deals holy damage. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_45,Rotbone Arrow,Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes scarlet rot buildup (50),0
ammo_46,Rotbone Arrow (Fletched),Arrow whittled from animal bones. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Causes scarlet rot buildup (50),0
ammo_47,Magicbone Bolt,Bolt carved from animal bone. The tip is daubed with a glintstone tincture. Deals magic damage.Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/magicbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_48,Lightningbone Bolt,Bolt crafted from animal bone with a lightning-infused tip. Deals lightning damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/lightningbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_49,Haligbone Bolt,Bolt carved from animal bone. The tip is daubed with a golden tincture. Deals holy damage. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/haligbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_50,Poisonbone Bolt,Bolt carved from animal bone. The tip is daubed with venom. Afflicts targets with poison. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/poisonbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes poison buildup (66),0
ammo_51,Rotbone Bolt,Bolt carved from animal bone. The tip is daubed with rot. Afflicts targets with scarlet rot. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rotbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes scarlet rot buildup (55),0
ammo_52,Bloodbone Bolt,Bolt carved from animal bone. The tip is daubed with a blood tincture. Afflicts targets with blood loss. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blodbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes blood loss buildup (50),0
ammo_53,Bolt,"Ammunition used for crossbows.A widespread, common type of bolt.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_54,Golden Arrow,"Carved arrows made in tandem with the Erdtree Bow. Deals holy damage. Highly effective against Those Who Live in Death, and able to prevent them from rising again.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_55,Golden Great Arrow,"Carved greatarrows made together with the Erdtree Greatbow. Deals holy damage. Imbued with an oath-sworn incantation, which boosts the attack and defense of the archer and their nearby allies.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_great_arrow_elden_ring_wiki_guide_200px.png,Greatarrow,Pierce,,0
ammo_56,Golden Bolt,Bolt blessed with an incantation of the Erdtree. Deals powerful holy damage Once used by guards of the Capital.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golden_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,,0
ammo_57,Sleepbone Bolt,Bolt carved from animal bone. The tip is daubed with a waterlily tincture. Afflicts targets with sleep.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/sleepbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Confers Sleep status ailment (90),0
ammo_58,Rainbow Stone Arrow (Fletched),Arrow whittled from animal bones tipped with chips of Rainbow Stone. Colored light shines at the point of impact. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rainbow_stone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_59,Bone Great Arrow,"Greatarrow as large as a spear whittled from stout animal bones.Though the tip is certainly sharp, it does not fly particularly true.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_great_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_60,Coldbone Arrow,Arrow whittled from animal bones with a frozen tip. Afflicts targets with frost. Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_arrow__elden_ring_wiki_guide_200px.png,Arrow,Pierce,Afflicts targets with frost,0
ammo_61,Coldbone Arrow (Fletched),Arrow whittled from animal bones with a frozen tip. Afflicts targets with frost. Craftable item. The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_arrow_fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,Afflicts targets with frost,0
ammo_62,Coldbone Bolt,Bolt carved from animal bone with a frozen tip. Afflicts targets with frost.Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/coldbone_bolt_elden_ring_wiki_guide_200px.png,Bolt,Pierce,Causes frost buildup (65),0
ammo_63,Golem's Magic Arrow,Greatarrow of black stone crafted by a civilization now gone to ruin. Imbued with its ancient magic.Deals magic damage.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/golems_magic_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_64,Storm Arrow,Animal bone arrow that knocks enemies away with a gust of wind.Craftable item.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/storm_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_65,Stormwing Bone Arrow,"Arrow whittled from animal bones fletched with stormhawk feathers. Craftable item. Flies enshrouded in storm winds, breaking enemy stances and guards with ease.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/stormwing_bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_66,Bone Great Arrow (Fletched),Greatarrow as large as a spear whittled from stout animal bones.Craftable item.The fletching adds distance to the arrow's flight.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_great_arrow__fletched_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_67,Bone Arrow,"Arrow whittled from thin animal bones. Craftable item. Though the arrowhead is sharp indeed, it doesn't fly particularly true.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_arrow_elden_ring_wiki_guide_200px.png,Arrow,Pierce,,0
ammo_68,Bone Ballista Bolt,"Greatbolt as large as a spear carved from stout animal bones. Craftable item. Though the tip is certainly sharp, it does not fly particularly true.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_ballista_bolt_elden_ring_wiki_guide_200px.png,Greatbolt,Pierce,,0
