Rank,Title,Release Date,Rating,Score,Description,Link,Image URL
11,Like a Dragon: Infinite Wealth,"Jan 26, 2024",Rated M,92,"EPIC EMOTIONAL DRAMA
Two larger-than-life heroes brought together by the hand of fate, or perhaps something more sinister…
Ichiban Kasuga, an unstoppable underdog who’s no stranger to crawling up from rock bottom, and Kazuma Kiryu, a broken man facing down his last days.
BEST-IN-CLASS RPG ACTION
Experience one-of-a-kind combat with dynamic, fast-paced RPG battles where the battlefield becomes your weapon, and anything goes.
Adapt your party’s skills to the situation with outlandish jobs and customizations to strategically subdue enemies with over-the-top moves.
INFINITE ADVENTURE
Live it up in Japan and explore all that Hawaii has to offer in an adventure so big it spans the Pacific.
Unforgettable moments await at every step of the journey with a unique mix of quests and activities to enjoy at your leisure.",https://www.metacritic.com/game/like-a-dragon-infinite-wealth/,
12,Metaphor: ReFantazio,"Oct 11, 2024",Rated T,92,"From the creative minds behind Persona 3, 4, and 5 comes Metaphor: ReFantazio, a unique fantasy world, where your protagonist will journey alongside his fairy companion, Gallica, to lift the curse from the kingdom’s lost prince. Control your destiny, face your fears and awaken magical ""Archetype"" powers that lie dormant in your heart. By awakening to an “Archetype,” you will unlock the power to channel and combine the abilities of unique job classes. Strengthen your bonds and build your party to take down powerful foes and discover the kingdom’s true nature.

-Go on uests, dungeon dive, & hunt for treasures by day. Strengthen relationships, build bonds, & increase virtues by night. Choose your actions wisely, time management is key to achieving your goal. 

Ride your “gauntlet runner” to faraway dungeons & towns across an expansive world. Discover beautiful landscapes  accompanied by captivating music, immersive UI, & anime cutscenes.

A unique battle system combining turn based & real time action grants strategy & exhilaration at every turn. Party customization through “Archetypes” provides freedom to personalize your adventure. 

A mysterious & exciting story unfolds in a world where people must fight their own anxiety. Join the high-stakes Royal Tournament that promises hours of captivating exploration and discovery.",https://www.metacritic.com/game/metaphor-refantazio/,
13,Shin Megami Tensei V: Vengeance,"Jun 14, 2024",Rated M,92,"Embark on this definitive version of the critically acclaimed Shin Megami Tensei V, massively expanded with a brand-new storyline featuring new locations, demons, and choices to make that will dictate the fate of all existence.",https://www.metacritic.com/game/shin-megami-tensei-v-vengeance/,
14,Diablo IV,"Jun 6, 2023",Rated M,91,"MEET YOUR MAKER - Lilith has returned to Santuary, summoned by a dark ritual after eons in exile. Her return ushers in a new era of misery and darkness.

LEGIONS OF CREATION
An old legend has it that Sanctuary was created by the union of an Angel and a Demon, and that their descendants --- humanity --- built villages, then cities and empires, spreading across the land to form the world's cultures and civilization.

A REIGN OF ENMITY
Chaos threatens to consume Sanctuary as evil and impeity continue to spread. Depraved demons and corrupted wildlife roam the land unchecked, as terrified townsfolk huddle in dark corners trying to survive one more day.

CULT OF PERSONALITY
The pious plead for guidance from their faith, but doubts have them feeling that their devotion is misplaced. Lilith's return has spawned a new wave of cultists and worshippers, but regardless of dogma, all prayers remain unanswered.

DAUGHTER OF HATRED
The daughter of Mephisto awakens burning urges in the hearts of those around her, be it demon, human or beast. Profound fears, unchecked rage, repressed impulses, sinful desires --- all are brought forth violently and irresistibly by her mere presence.

UNSTOPPABLE EVIL
As darkness returns to sanctuary, a brave few dare to face this threat. But what fate awaits them in a land forsaken by hope, valor, wisdom, and justice?",https://www.metacritic.com/game/diablo-iv/,
15,Resident Evil 4,"Mar 24, 2023",Rated M,91,"SURVIVAL IS JUST THE BEGINNING... Resident Evil 4 is a remake of the 2005 original Resident Evil 4. Reimagined for 2023 to bring state-of-the-art survival horror. Resident Evil 4 preserves the essence of the original game, while introducing modernized gameplay, a reimagined storyline, and vividly detailed graphics to make this the latest survival horror game where life and death, terror and catharsis intersect. 

STORY:
6 years have passed since the biological disaster in Raccoon City. Leon S. Kennedy, one of the survivors of the incident,
has been recruited as an agent reporting directly to the president of the United States. With the experience of multiple missions on his back, Leon is sent to rescue the president's kidnapped daughter. He tracks her to a secluded European village, where there is something terribly wrong with the villagers. And the curtain rises on this story of daring rescue and grueling horror.",https://www.metacritic.com/game/resident-evil-4/,
16,Death Stranding: Director's Cut,"Nov 7, 2024",Rated M,91,"From legendary game creator Hideo Kojima comes a genre-defying experience, now expanded and remastered for the PlayStation 5 console in this definitive Director’s Cut. In the future, a mysterious event known as the Death Stranding has opened a doorway between the living and the dead, leading to grotesque creatures from the afterlife roaming the fallen world marred by a desolate society. Take on the trials of Sam Bridges with advanced combat, more character actions and a competitive ranking system for special player challenges.* Make use of additional weapons and vehicles, take on new enemy types and explore new locations such as the Firing Range and Racetrack, featuring extra missions and minigames. Experience an extended storyline through new missions in an expanded area.",https://www.metacritic.com/game/death-stranding-directors-cut/,
17,Alan Wake II,"Oct 27, 2023",Rated M,90,"Shed some light on what has long been obscured by darkness. After 11 long years, the writer's return is a reality and the dangers lurking in the dark are even more sinister than the Taken roaming Bright Falls.  Alan Wake 2 turns up the level of dread as our very first dive into the survival horror genre, so expect a chilling experience with familiar psychological horror elements.  Be careful out there. Monsters wear many faces.",https://www.metacritic.com/game/alan-wake-ii/,
18,Rogue Legacy 2,"Apr 28, 2022",Rated E10+,90,"Rogue Legacy 2 is what you'd get if you mashed Rogue Legacy and a sequel together. Every time you die, your children will succeed you, and each child is unique. Your daughter might be a Colourblind Archer, and your son could be a Pacifistic Chef. Either way, one of them is getting conscripted.",https://www.metacritic.com/game/rogue-legacy-2/,
19,Blue Prince,"Apr 10, 2025",,90,"Welcome to Mt. Holly, where every dawn unveils a new mystery. Navigate through shifting corridors and ever-changing chambers in this genre-defying strategy puzzle adventure. But will your unpredictable path lead you to the rumored Room 46?",https://www.metacritic.com/game/blue-prince/,
20,Dead Space,"Jan 27, 2023",Rated M,90,"Developed exclusively for next generation consoles and PC, raising the level of horror and immersion to unprecedented heights for the franchise through stunning visuals, audio and controls powered by the Frostbite game engine. Fans will experience an improved story, characters, gameplay mechanics and more as they fight to survive a living nightmare aboard the desolate mining starship, the USG Ishimura, all while uncovering the dreadful mystery of what happened to the slaughtered crew and ship. 

In Dead Space, Isaac Clarke is an everyman engineer on a mission to repair a vast, sprawling starship, the USG Ishimura, only to discover something has gone horribly wrong. The ship's crew has been slaughtered and infected by some alien scourge...and Isaac's beloved partner, Nicole, is lost somewhere on board. Now Isaac is alone with only his tools and engineering skills as he attempts to uncover the nightmarish mystery of what happened aboard the Ishimura. Trapped with hostile creatures called ""necromorphs"", Isaac faces a battle for survival, not only against the escalating terrors of the ship, but his own crumbling sanity.",https://www.metacritic.com/game/dead-space/,
21,Microsoft Flight Simulator,"Jul 27, 2021",Rated E,90,"From light planes to wide-body jets, fly highly detailed and accurate aircraft in the next generation of Microsoft Flight Simulator. Test your piloting skills against the challenges of night flying, real-time atmospheric simulation and live weather in a dynamic and living world.",https://www.metacritic.com/game/microsoft-flight-simulator/,
22,Street Fighter 6,"Jun 2, 2023",Rated T,90,"Powered by Capcom’s proprietary RE ENGINE, the Street Fighter 6 experience spans across three distinct game modes featuring World Tour, Fighting Ground and Battle Hub. Diverse Roster of 18 Fighters. Play legendary masters and new fan favorites like Ryu, Chun-Li, Luke, Jamie, Kimberly and more in this latest edition with each character featuring striking new redesigns and exhilarating cinematic specials. Street Fighter 6 offers a highly evolved combat system with three control types - Classic, Modern and Dynamic - allowing you to quickly play to your skill level. The new Real Time Commentary Feature adds all the hype of a competitive match as well as easy-to-understand explanations about your gameplay. The Drive Gauge is a new system to manage your resources. Use it wisely in order to claim victory.",https://www.metacritic.com/game/street-fighter-6/,
23,Monster Hunter Wilds,"Feb 28, 2025",Rated T,90,"The unbridled force of nature runs wild and relentless, with environments transforming drastically from one moment to the next. This is a story of monsters and humans and their struggles to live in harmony in a world of duality. Fulfill your duty as a Hunter by tracking and defeating powerful monsters and forging strong new weapons and armor from the materials you harvest from your hunt as you uncover the connection between the people of the Forbidden Lands and the locales they inhabit. The ultimate hunting experience awaits you in Monster Hunter Wilds.

A few years past, a young boy named Nata was rescued at the border of the Forbidden Lands, an unexplored region the guild has yet to survey.
After hearing the boy’s tale of his lone escape from a mysterious monster that attacked his village, the Guild organized an expedition into the Forbidden Lands to investigate.

A Living World

Environments within the Forbidden Lands can drastically change as the weather shifts constantly and suddenly. During the harsh Fallow and perilous Inclemency periods, ravenous monsters will venture out to hunt in packs, yet during the Plenty periods, wildlife is rich and abundant.

Monsters

The monsters who inhabit these environments have been forced to adapt to the dynamic changes that occur, using their unique characteristics to survive and thrive.

Hunting

As the world around them changes, so must the hunters and their tactics. Not only will hunters have a multitude of weapons and armor to choose from, but the art of the hunt itself has evolved as hunters learn to anticipate monsters’ behavior and familiarize themselves with their environment.

Characters

From hunting partners to fellow expedition members, you’ll encounter plenty of those who will support you on your journey.",https://www.metacritic.com/game/monster-hunter-wilds/,
24,Deathloop,"Sep 20, 2022",Rated M,89,"If at first you don't succeed Die, Die Again. From the team at Arkane Lyon comes an innovative take on first-person action. ""DEATHLOOP"" transports players to the lawless island of Blackreef in an eternal struggle between two extraordinary assassins. Explore stunning environments and meticulously designed levels in an immersive gameplay experience that lets you approach every situation any way you like. Hunt down targets all over the island in an effort to put an end to the cycle once and for all, and remember, if at first you don't succeed die, die again.",https://www.metacritic.com/game/deathloop/,
