id,name,image,type,effect,description,dlc
bell_21,Nomadic Merchant's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_22,Nomadic Merchant's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_23,Nomadic Merchant's Bell Bearing [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_24,Nomadic Merchant's Bell Bearing [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_25,Nomadic Merchant's Bell Bearing [6],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_26,Nomadic Merchant's Bell Bearing [7],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_27,Nomadic Merchant's Bell Bearing [8],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_28,Nomadic Merchant's Bell Bearing [9],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_29,Nomadic Merchant's Bell Bearing [10],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_30,Nomadic Merchant's Bell Bearing [11],,Key Item,Offer to Twin Maiden Husks for new item access,"A nomadic merchant's bell bearing, found upon his perished flesh.Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_31,Isolated Merchant's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"An isolated merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_32,Isolated Merchant's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"An isolated merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_33,Hermit Merchant's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of a hermetic merchant, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_34,Hermit Merchant's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of a hermetic merchant, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_35,Hermit Merchant's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of a hermetic merchant, found upon his perished flesh Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_36,Abandoned Merchant's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing_(small).png,Key Item,Offer to Twin Maiden Husks for new item access,"Bell bearing of a merchant left behind, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_37,Imprisoned Merchant's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,"An imprisoned merchant's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_38,Iji's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/ijis_bell_bearings_elden_ring_wiki_guide_200px.png,Key Item,Offer to Twin Maiden Husks for new item access,"Iji the Smithing Master's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_39,Rogier's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rogiers-bell-bearing-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"Rogier the Sorcerer's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_40,Blackguard's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/blackguards_bell_bearing-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,"The Blackguard's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_41,Corhyn's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/specialized_bell_bearing_1.png,Key Item,Offer to Twin Maiden Husks for new item access,"Brother Corhyn's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_42,Gowry's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/specialized_bell_bearing_(sorceries).png,Key Item,Offer to Twin Maiden Husks for new item access,"Sage Gowry's bell bearing, found upon his perished flesh. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to new items.",0
bell_43,Bone Peddler's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/bone_peddlers_bell_bearing_elden_ring_wiki_guide_200px.png,Key Item,Offer to Twin Maiden Husks for new item access,Bell bearing of an unfortunate bone peddler who was slain by the Bell Bearing Hunter. Offer to the Twin Maiden Husks at the Rountable Hold to gain access to the following items: Thin Beast Bones Hefty Beast Bone,0
bell_44,Meat Peddler's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/meat_peddlers_bell_bearing-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer to the Twin Maiden Husks for new items access,Bell bearing of an unfortunate meat peddler who was slain by the Bell Bearing Hunter. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Sliver of Meat - Lump of Flesh - Turtle Neck Meat,0
bell_45,Medicine Peddler's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,Bell bearing of an unfortunate medicine peddler who was slain by the Bell Bearing Hunter. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Neutralizing Boluses - Stanching Boluses - Thawfrost Boluses - Stimulating Boluses,0
bell_46,Gravity Stone Peddler's Bell Bearing,http://eldenring.wiki.fextralife.com/file/Elden-Ring/merchant_bell_bearing.png,Key Item,Offer to Twin Maiden Husks for new item access,Bell bearing of an unfortunate gravity stone peddler who was slain by the Bell Bearing Hunter. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Gravity Stone Fan - G ravity Stone Chunk,0
bell_47,Smithing-Stone Miner's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing-stone_miners_bell_bearing_2-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Smithing Stone (1) - Smithing Stone (2) - Glintstone Scrap,0
bell_48,Smithing-Stone Miner's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing-stone_miners_bell_bearing_2-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Smithing Stone [3] - Smithing Stone[4] - Explosive Stone,0
bell_49,Smithing-Stone Miner's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing-stone_miner's_bell_bearing_3-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Smithing Stone [5] - Smithing Stone [6],0
bell_50,Smithing-Stone Miner's Bell Bearing [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/smithing-stone_miner's_bell_bearing_4-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Smithing Stone [7] - Smithing Stone [8]- Ruin Fragment,0
bell_51,SOMBERSTONE MINER'S BELL BEARING (2),http://eldenring.wiki.fextralife.com/file/Elden-Ring/somberstone-miners-bell-bearing-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer this to the Twin Maiden Husk's,The bell bearing of a miner who once dug for somber smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Somber Smithing Stone [3]- Somber Smithing Stone [4]- Cracked Crystal,0
bell_52,Somberstone Miner's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somberstone-miners-bell-bearing-1-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer to the Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for somber smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Somber Smithing Stone [5]- Somber Smithing Stone [6],0
bell_53,Somberstone Miner's Bell Bearing [4],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somberstone-miners-bell-bearing-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for somber smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Somber Smithing Stone (7) - Somber Smithing Stone (8)- Sanctuary Stone,0
bell_54,Somberstone Miner's Bell Bearing [5],http://eldenring.wiki.fextralife.com/file/Elden-Ring/somberstone-miners-bell-bearing-key-items-elden-ring-wiki-guide-200.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a miner who once dug for somber smithing stone. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Somber Smithing Stone (9),0
bell_55,Ghost-Glovewort Picker's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost-glovewort-pickers-bell-bearing-1-key-items-description.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a forager who once picked ghost glovewort flowers. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Ghost Glovewort [1] - Ghost Glovewort [2] - Ghost Glovewort [3],0
bell_56,Ghost-Glovewort Picker's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost-glovewort-pickers-bell-bearing-1-key-items-description.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a forager who once picked ghost glovewort flowers. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Ghost Glovewort [4] - Ghost Glovewort [5] - Ghost Glovewort [6],0
bell_57,Glovewort Picker's Bell Bearing [1],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost-glovewort-pickers-bell-bearing-1-key-items-description.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a forager who once picked grave glovewort flowers. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Grave Glovewort [1] - Grave Glovewort [2] - Grave Glovewort [3],0
bell_58,Glovewort Picker's Bell Bearing [2],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost-glovewort-pickers-bell-bearing-1-key-items-description.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a forager who once picked grave glovewort flowers. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Grave Glovewort [4] - Grave Glovewort [5] - Grave Glovewort [6],0
bell_59,Glovewort Picker's Bell Bearing [3],http://eldenring.wiki.fextralife.com/file/Elden-Ring/ghost-glovewort-pickers-bell-bearing-1-key-items-description.png,Key Item,Offer to Twin Maiden Husks for new item access,The bell bearing of a forager who once picked grave glovewort flowers. Offer to the Twin Maiden Husks at the Roundtable Hold to gain access to the following items: - Grave Glovewort [7] - Grave Glovewort [8] - Grave Glovewort [9],0
