id,name,description,image,type,weight,special_effect,how_to_acquire,in_game_section,dlc
armor_10,Helm of Night,"Bottomless black helm, cool to the touch.Flowing lines in the seeming shape of a fingerprint adorn the surface. Imprisons the wearer in utterly lightless dark.Bestowed upon those born deep underground, ordaining them as Swordhands of Night.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_night_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.0,,"Bonny Gaol: Use the jar lift near the bridge twice to reach the top level of the gaol. First, hop on the jar, go to the bridge level, and activate the switch. Ride the jar lift for the second time to go to the top level. You can find the Night Set on a corpse laying on top of a table. [See SOTE Elden Ring DLC Map] [Video Link]",6,1
armor_11,Igon's Helm,"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. This tattered protective-wear is shaped like a bugle. The poor scavenger of battlefields found honor through Dragon Communion.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.3,,Loot Igon after defeating Bayle the Dread.,14,1
armor_12,Igon's Helm (Altered),"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. Patched with scraps of cloth. The poor scavenger of battlefields found honor through Dragon Communion.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.0,,Alter Igon's Helm at any Site of Grace,14,1
armor_13,Wise Man's Mask,"The iron mask of Sir Ansbach, giving the appearance of a quiet, wise, old bearded man. But an old fear lurks beneath, together with the cold, unflinching discipline that once honed his blade, now employed to enhance Blood Oath and dynastic skills.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/wise_mans_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.0,Enhances Blood Oath and dynastic skills by 5%.,"Complete Sir Ansbach's questline all the way through the end, and side with him when facing Leda, and then Promised Consort Radahn/ Radahn, Consort of Miquella. After the fight is over, Sir Ansbach's body will be near the site of grace, alongside with his equipment and his Incantation. [Map Link]",19,1
armor_14,Freyja's Helm,"Golden helm of Redmane Freyja, member of General Radahn's most distinguished knights. A hideous scarlet wound was once hewn into the center of her face. Later, Miquella gently put his lips to it and the unfading scar became the compass that Freyja would thereafter follow.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,5.8,,Drop by Redmane Freyja.,19,1
armor_15,Helm of Solitude,"Steel helm of the Knights of the Solitary Gaol. Part of a heavy armor set that covers the whole body in overlapping plates of steel. The nameless mausoleums of the realm of shadow are said to hold the spirits of warriors who lost their names, or their hearts.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_solitude_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,10.3,,Can be obtained after defeating the Blackgaol Knight found inside Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],1,1
armor_16,Messmer Soldier Helm,"Helm worn by soldiers who serve Messmer the Impaler. The iron helm features a visor. Though the engraving upon the forehead is a Scadutree design, it is etched in gold. A small consolation to those forced to wage a war without grace or honor.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.0,,Drop from Messmer Soldiers,17,1
armor_17,Black Knight Helm,"Helm worn by the Black Knights, servants of Messmer the Impaler. Black iron ornamented with gold. A rotten odor stubbornly clings to it. Perhaps it arises from the tainted nature of the blood that splattered upon it. Or perhaps it is the wearer's own blackened soul, festering after endless slaughter.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,5.9,,"Black Knight Set pieces are dropped from Black Knights, found throughout the Lands of Shadow.",17,1
armor_18,Rakshasa Helm,"Helm of Rakshasa, soaked in the spurting blood of her victims. Tatters of ragged cloth jut out haphazardly, as if her lust for carnage threatens to break free.Increases damage dealt to foes, but greatly increases damage taken by the wearer.Cut down and devour. Only those who repeat the cycle without rest can truly subvert the self and become Rakshasa.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasa_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,5.5,Boosts All Damage by 2%,Dropped by Rakshasa in Eastern Nameless Mausoleum. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],6,1
armor_19,Fire Knight Helm,"Pointed helm of the Fire Knights under Messmer the Impaler's personal command. Slightly increases maximum HP, stamina, and maximum equip load. Each and every knight hailed from a renowned family of the Erdtree's upper echelons, but were shunned and chased from their homes after pledging allegiance to Messmer as their master.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.0,"Slightly increases maximum HP by 2%, Stamina by 5%, and Equip Load by 4%.",Drop by Fire Knights in the Shadow Keep,17,1
armor_20,Death Mask Helm,"Helm of Wego, elder among the Fire Knights. Two warped death masks stacked one atop the other. Reduces FP used to summon spirits. Gnawed at by loneliness, the old man turned his attention to the spirituality of Messmer's flame, using it in a rite of resurrection. Yet the soulless bodies he brought to life were no comfort to poor Wego.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_mask_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.4,Reduces FP to summon spirits by 12%,"Drops from a Fire Knight miniboss in the cathedral area of Shadow Keep, after draining out the water.",17,1
armor_21,Winged Serpent Helm,"Helm of Kood, captain of the Fire Knights. A winged serpent perches atop it. Enhances Fire Knight skills. The winged serpent is the token creature of Messmer's military forces. It is a wise friend which keeps the base serpent at bay and holds its power in check.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/winged_serpent_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.6,Enhances Fire Knight skills by 10%.,"Shadow Keep: Sixth Floor: Climb the statues once you've used the lever to move them. Head outside, turn right and head up the stairs, turn left to find a Fire Knight at the end of the bridge. Drops this item and Ash of War: Flame Spear. [See Shadow of the Erdtree Map]",17,1
armor_22,Salza's Hood,"Hood of Salza, sage of the Fire Knights.A prodigious amount of cloth wound around it, giving the impression of a greatly swollen head, and wearing it increases intelligence.A disciple of the elder Wego, he refused to burn down an old ruin, at the risk of his own life.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/salzas_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.8,Increases Intelligence +2,"From the West Rampart Site of Grace, take the bridge all the way. Use Torrent to avoid being trappped in the Rain of Fire. Defeat the Fire Knight at the end to obtain this and Rain of Fire. [See Shadow of the Erdtree Map]",18,1
armor_23,Leather Headband,"Headband worn by highland warriors, made of woven leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_headband_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.0,,"To the northwest of the Ravine North Site of Grace, there is a forest inhabited by runebears. At the center of this forest, you'll find a large stone with several items on it, this whole armor set is at the top of the stone. [See Shadow of the Erdtree Map]",7,1
armor_24,Leather Crown,"Helm worn by highland warriors, pieced together using leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_crown_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.3,,"Found laying on the grounds in the middle of the woods, alongside the rest of the Highland Warrior Set. [Map Link]",6,1
armor_25,Death Knight Helm,"Golden helm of the Death Knights, whose own death masks served as the visards of their armor. Enhances skills and incantations of the capital's ancient dragon cult. The decayed golden wheel that adorns it represents their unbroken loyalty to Godwyn, he who became Prince of Death.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.6,Enhances skills and incantations of the ancient dragon cult by 2%.,"Darklight Catacombs, on a Death Knight corpse",15,1
armor_26,Curseblade Mask,"A mask affixed with a crown of tangled horns, worn by those who would invoke divinity. Divine invocation heightens the dexterity of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this mask.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/curseblade_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,2.2,"Increases Dexterity by +5, but reduces the flask value by -7%",Drop by Curseblade enemies.,1,1
armor_27,Messmer's Helm,"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents.Slightly enhances incantations of Messmer's flame as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.6,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Purchase from Finger Reader Enia at Roundtable Hold after defeating Messmer the Impaler,17,1
armor_28,Messmer's Helm (Altered),"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents. Slightly enhances incantations of Messmer's fire as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.3,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Alter Messmer's Helm at any site of grace.,17,1
armor_29,Gravebird Helm,"Stone helm with a tinge of green. One of a set of armor pieces cast in the image of the Gravebird. Empowers spells which summon rings of spectral light. Gravebirds are ancient golems, created to guard the spiritgraves built where all manners of Death ultimately drift.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravebird_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.6,Empowers spells which summon rings of spectral light by 15%.,"From the Spiral Rise site of grace, climb the spire until you get the elevator shortcut back down. Ride the lift down and jump off halfway into a central altar. [Map Link]",19,1
armor_30,Common Soldier Helm,"Helm of the rank-and-file soldiers of Messmer's army. A pitch-dark soot clings to it, much like the inner faces of the men who wore them.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/common_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.8,,Drop by soldiers in Castle Ensis,5,1
armor_31,Horned Warrior Helm,"Helm featuring a crown of sturdy tangled horns, allowing the wearer to invoke divinity. Attire of the horned warriors, keepers of the tower. Divine invocation bolsters the strength of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_warrior_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.6,"Increases Strength by +5, but decreases healing from Flask of Crimson Tears by -7%.",Dropped from Horned Warriors,3,1
armor_32,Divine Beast Helm,"A helm of tangled horn attached to a divine beast mask, allowing the wearer to invoke divinity. Worn by divine beast warriors; the chosen of the horned warriors. Divine invocation heightens intensity of the storm alongside strength and dexterity, but reduces the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,5.1,"Heightens intensity of the storm by 4%, boost Strength by +3 and Dexerity by +3, but reduces restorative effect of sacred tears by -9% and lower focus by -45","Dropped by Divine Beast Warriors, Enir Ilim",19,1
armor_33,Divine Bird Helm,"A helm of tangled horn attached to a divine bird mask, allowing the wearer to invoke divinity. Worn by divine bird warriors; the very first of all horned warriors. Divine invocation heightens the power of divine bird feathers alongside strength and dexterity, but reduces the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_bird_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,4.6,"Heightens the power of divine bird feathers by 10%, boost Strength by +3 and Dexerity by +4, but reduces restorative effect of sacred tears by -9% and lower focus by -45",Dropped by Divine Bird Warriors,19,1
armor_34,Rellana's Helm,"Ornate helm of Rellana, the Twin Moon Knight, fashioned from silver steel. Rennala, head of the royal family of Caria, was said to have given her younger sister, who renounced her lineage to chase after Messmer, a gift of lustrous black hair.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/rellanas_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,5.1,,The complete set (Rellana's Set) can be bought from Enia in the Roundtable Hold upon defeating Rellana Twin Moon Knight.,5,1
armor_35,Young Lion's Helm,"The golden helm worn by Radahn in his younger years. Proudly displaying his heroic red hair, it is fitting attire for a lion. When Malenia, Blade of Miquella, let the rotflower blossom in Aeonia, Radahn heard a murmur in his ear ""Miquella awaits thee, O promised consort.""",http://eldenring.wiki.fextralife.com/file/Elden-Ring/young_lions_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,6.4,,"Purchase from Finger Reader Enia at Roundtable Hold after defeating Promised Consort Radahn / Radahn, Consort of Miquella in Enir-Ilim [See Shadow of the Erdtree Map]",19,1
armor_36,Circlet of Light,"The circlet of light which adorned Miquella's head as he returned in divine aspect. It has begun to fade into nothingness. Slightly boosts intelligence, faith, and arcane, while also boosting the power of Miquella's light. This circle was to be the very foundation upon which Miquella's age of compassion would be built, should it have ever come to pass.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/circlet_of_light_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.0,"+1 to Intelligence, Faith, and ArcaneBoosts the power of Miquella's Light",Obtained after defeating Promised Consort Radhan,19,1
armor_37,Shadow Militiaman Helm,"Helm as dark as shadow, worn by vulgar militiamen. Freshly-singed battlegrounds effusing with the stench of the dead. Forbidden lands that will be excised from the memory of history. What better place than the realms of shadow then, for such an army?",http://eldenring.wiki.fextralife.com/file/Elden-Ring/shadow_militiaman_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,3.0,,Dropped by the Shadow men,17,1
armor_38,Divine Beast Head,"Ritual headwear in the form of a divine beast's head, used to perform the lion dance. Worn by the very finest of the sculpted keepers. Alas, it no longer responds to the old woman's earnest prayer. Divine invocation heightens intensity of the storm alongside strength and dexterity, but reduces the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this headwear.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_head_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,10.6,"Heightens intensity of the storm by 10%, boost Strength by +4 and Dexerity by +4, but reduces restorative effect of sacred tears by -11% and lower focus by -63",The Divine Beast Dancing Lion drops this Helm upon defeat. [See Shadow of the Erdtree Map],3,1
armor_39,St. Trina's Blossom,"St. Trina's life withered and fell, as fleeting as the seasons. At her last, she left a single water lily. Slightly boosts max FP. Despite the velvety-purple hue, the flower is in no way poisonousit merely blooms in quietude.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/st._trinas_blossom_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,1.0,Boosts max FP by 6%.,"Garden of Deep Purple: After completing Thiollier and St. Trina's questline, return to her cave in Garden of Deep Purple. You can pick up this item from her fallen body. [See Shadow of the Erdtree Elden Ring DLC Map]",9,1
armor_40,Crucible Hammer-Helm,"Helm worn by Devonia, longest-serving of the Crucible Knights. Holds the power of the crucible of life, the primordial form of the Erdtree. Strengthens Aspects of the Crucible incantations. It is said Devonia quested in search of the Crucible's origin, and departed from the lands of the Erdtree alone.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/crucible_hammer-helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,7.5,Strengthens Aspects of the Crucible Incantations.,"Dropped by Devonia, Crucible Knight [Map Link]",18,1
armor_41,Greatjar,"A greatjar which fits comfortably over the head when upturned. Attire of the shamans who perform their worship at gaols. Increases the power of thrown pots of all sizes. They offer their prayers to the innards of the greatjars, such that they might be reborn one day into sainthood. This is the cycle of death and rebirth, taken into the hands of mortal men.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/greatjar_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,12.3,Increases the power of all thrown pots by 16%.,"Belurat Gaol: After leaving the jar labyrinth, you will pass a small bridge and fight 3 Mutated Prisoners, on quite a large platform. In order to advance the dungeon, you have to step on the jar at the end of the area, but don't do that. Instead, turn right to find another jar on a slightly lower level. Step on it, and it will take you high. Once there, jump from platform to platform, and once the area, opens up, the item is on a pedestal, beware of the enemies.",3,1
armor_42,Imp Head (Lion),"Head covering made from the largely unaltered head of an impish golem. Resembling a lion in appearance, life force faintly clings to it.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/imp_head_(lion)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,helm,8.1,+2 Vigor,Scorpion River Catacombs. Can be found on top of a platform if you ride one of the two spike trap platform lifts. [Video Link],18,1
armor_43,Alberich's Pointed Hat,"Mad Tongue Alberich's pointed hat, a sign of a heretical practitioner. Set with red glintstones said to be formed by the blood of sacrifices. Strengthens thorn sorcery. Alberiches was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/alberichs_pointed_hat_elden_ring_wiki_guide_200px.png,helm,1.7,Strengthens thorn sorcery by 6%.,"The entire Alberich's Set can be found in the main hall of the Fortified manor in Leyndell, Royal Capital, near the Fortified Manor, first floor Site of Grace. Elden Ring Map here",2,0
armor_44,Alberich's Pointed Hat (Altered),Mad Tongue Alberich's robe.Alberich was an aloof yet disturbed heretical sorcerer said to have been driven mad by jeering tongues during his service to the Roundtable Hold long ago.,http://eldenring.wiki.fextralife.com/file/Elden-Ring/alberichs_pointed_hat_(altered)_elden_ring_wiki_guide_200px.png,helm,1.0,,Boc the Seamster can alter the original Alberich's Pointed Hat if you have it in your possession.,2,0
armor_45,Albinauric Mask,"Made from the largely unaltered hide of a young Albinauric.Raises arcane, but reduces the HP recovery effects of the Flask of Crimson Tears.A far cry from godskin, this Albinauric hide mask is the product of malicious mockery.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/albinauric_mask_elden_ring_wiki_guide_200px.png,helm,3.8,"+4 Arcane,reduces the HP recovered from Flask of Crimson Tears by 10%.","Found in Volcano Manor near the Guest Hall grace. Ascend the stairs to the top floor of the building. Head outside and take the ladder to your left onto the roof. Go to the back of the roof and jump off the right side to a balcony, then enter a room with an Omenkiller, the Albinauric Staff, and the Albinauric Mask. Elden Ring Map here",4,0
armor_46,All-Knowing Helm,"Helm set with countless eyes and ears. Worn by Gideon Ofnir, the All-Knowing. Knowledge begins with the recognition of one's ignorance. The realization that the search for knowledge is unending. But when Gideon glimpsed into the will of Queen Marika, he shuddered in fear. At the end that should not be.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/all-knowing_helm_elden_ring_wiki_guide_200px.png,helm,4.6,,"The entire All-Knowing Set is dropped by Sir Gideon Ofnir, the All-Knowing upon defeat. He is fought in Leyndell, Capital of Ash, an alternate version of the Royal Capital accessible only after making significant progress in the story. Elden Ring Map here",9,0
armor_47,Aristocrat Hat,"Leather hat decorated with a withered feather.Travel attire worn by nobles in the capital, and the belonging of a family which claims a knight as an ancestor.Abandoning their birthplace after the Shattering, these undead wanderers are the pitiful product of unending life.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/aristocrat_hat_elden_ring_wiki_guide_200px.png,helm,3.0,,Drops from Soldier Aristocrats that can be found wandering the roads of most areas.,1,0
armor_48,Aristocrat Headband,"Valuable headband featuring fine goldwork.Travel attire worn by nobles in the capital.Abandoning their birthplace after the Shattering, these undead wanderers are pitiful product of unending life.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/aristocrat_headband_elden_ring_wiki_guide_200px.png,helm,1.2,,"Rare chance to drop from Aristocrat Sorcerers seen in larger groups of Aristocrat enemies that wander the roads of most areas.Easily farmed in Kingsrealm Ruins, south of the Road to the Manor site of grace.",1,0
armor_49,Ash-of-War Scarab,"Gray scarab worn directly on the head.These scarabs roll clumps of Ashes of War during their labors.Slightly reduces the FP cost of skills, but increases damage taken.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/ash-of-war_scarab_elden_ring_wiki_guide_200px.png,helm,5.1,Reduces the FP cost of skills by ~14%. Increases damage taken by ~5%.,Behind the waygate on the Limgrave Tower Bridge that takes you to the Divine Tower of Limgrave on a broken section of the bridge. Elden Ring Map here,4,0
armor_50,Astrologer Hood,"Hood fashioned from supple cloth. Worn by those who look to the cosmos above. They read fate in the stars, and are said to be heirs of the glintstone sorcerers. But alas, the night sky no longer cradles fate.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/astrologer_hood_elden_ring_wiki_guide_200px.png,helm,1.7,,"Starting Equipment for the Astrologer ClassCan be purchased from the Nomadic Merchant in Liurnia of the Lakes for 1,000 Runes. Elden Ring Map here.",2,0
armor_51,Azur's Glintstone Crown,"Crown of Azur, primeval current sorcerer, set with a prominent blue-green glintstone.This crown replaced Azur's brain and skull altogether, and now, removed from his body, it is all but dead. What power remains within raises the potency of Azur's primeval current sorceries at the cost of additional FP consumption.",http://eldenring.wiki.fextralife.com/file/Elden-Ring/azurs_glintstone_crown_elden_ring_wiki_guide_200px.png,helm,3.6,"Increases the damage of Comet Azur by 15%, and Glintstone Cometshard and Comet by 10%. Increases FP consumption from sorceries by 15%.",The complete Azur's Glintstone Set is found at Azur's location after completing Sorceress Sellen's questline where you side with her. Elden Ring Map here,2,0
