id,attribute_type,attribute_name,attribute_value
armor_11,damage_negation,Physical,3.1
armor_11,damage_negation,VS Strike,3.4
armor_11,damage_negation,VS Slash,3.1
armor_11,damage_negation,VS Pierce,3.1
armor_11,damage_negation,Magic,3.6
armor_11,damage_negation,Fire,3.8
armor_11,damage_negation,Lightning,4.0
armor_11,damage_negation,Holy,3.6
armor_11,resistance,Immunity,26.0
armor_11,resistance,Robustness,16.0
armor_11,resistance,Focus,22.0
armor_11,resistance,Vitality,22.0
armor_11,resistance,Poise,5.0
armor_12,damage_negation,Physical,2.8
armor_12,damage_negation,VS Strike,3.1
armor_12,damage_negation,VS Slash,2.8
armor_12,damage_negation,VS Pierce,2.8
armor_12,damage_negation,Magic,3.4
armor_12,damage_negation,Fire,3.6
armor_12,damage_negation,Lightning,3.8
armor_12,damage_negation,Holy,3.4
armor_12,resistance,Immunity,24.0
armor_12,resistance,Robustness,15.0
armor_12,resistance,Focus,20.0
armor_12,resistance,Vitality,20.0
armor_12,resistance,Poise,5.0
armor_13,damage_negation,Physical,4.2
armor_13,damage_negation,VS Strike,3.6
armor_13,damage_negation,VS Slash,4.4
armor_13,damage_negation,VS Pierce,4.0
armor_13,damage_negation,Magic,3.1
armor_13,damage_negation,Fire,4.0
armor_13,damage_negation,Lightning,2.3
armor_13,damage_negation,Holy,3.1
armor_13,resistance,Immunity,11.0
armor_13,resistance,Robustness,24.0
armor_13,resistance,Focus,9.0
armor_13,resistance,Vitality,10.0
armor_13,resistance,Poise,7.0
armor_14,damage_negation,Physical,5.5
armor_14,damage_negation,VS Strike,4.2
armor_14,damage_negation,VS Slash,4.8
armor_14,damage_negation,VS Pierce,4.8
armor_14,damage_negation,Magic,4.0
armor_14,damage_negation,Fire,4.2
armor_14,damage_negation,Lightning,3.8
armor_14,damage_negation,Holy,4.2
armor_14,resistance,Immunity,13.0
armor_14,resistance,Robustness,28.0
armor_14,resistance,Focus,9.0
armor_14,resistance,Vitality,12.0
armor_14,resistance,Poise,8.0
armor_15,damage_negation,Physical,6.8
armor_15,damage_negation,VS Strike,6.4
armor_15,damage_negation,VS Slash,6.7
armor_15,damage_negation,VS Pierce,6.3
armor_15,damage_negation,Magic,4.7
armor_15,damage_negation,Fire,5.2
armor_15,damage_negation,Lightning,4.8
armor_15,damage_negation,Holy,4.9
armor_15,resistance,Immunity,26.0
armor_15,resistance,Robustness,27.0
armor_15,resistance,Focus,42.0
armor_15,resistance,Vitality,22.0
armor_15,resistance,Poise,14.0
armor_16,damage_negation,Physical,4.4
armor_16,damage_negation,VS Strike,3.6
armor_16,damage_negation,VS Slash,4.4
armor_16,damage_negation,VS Pierce,4.2
armor_16,damage_negation,Magic,3.1
armor_16,damage_negation,Fire,3.6
armor_16,damage_negation,Lightning,2.5
armor_16,damage_negation,Holy,3.1
armor_16,resistance,Immunity,12.0
armor_16,resistance,Robustness,22.0
armor_16,resistance,Focus,9.0
armor_16,resistance,Vitality,9.0
armor_16,resistance,Poise,7.0
armor_17,damage_negation,Physical,5.2
armor_17,damage_negation,VS Strike,4.4
armor_17,damage_negation,VS Slash,5.2
armor_17,damage_negation,VS Pierce,5.8
armor_17,damage_negation,Magic,4.4
armor_17,damage_negation,Fire,4.6
armor_17,damage_negation,Lightning,3.8
armor_17,damage_negation,Holy,4.0
armor_17,resistance,Immunity,16.0
armor_17,resistance,Robustness,26.0
armor_17,resistance,Focus,10.0
armor_17,resistance,Vitality,9.0
armor_17,resistance,Poise,9.0
armor_18,damage_negation,Physical,2.7
armor_18,damage_negation,VS Strike,2.3
armor_18,damage_negation,VS Slash,3.1
armor_18,damage_negation,VS Pierce,2.9
armor_18,damage_negation,Magic,2.1
armor_18,damage_negation,Fire,2.5
armor_18,damage_negation,Lightning,1.9
armor_18,damage_negation,Holy,2.1
armor_18,resistance,Immunity,15.0
armor_18,resistance,Robustness,26.0
armor_18,resistance,Focus,12.0
armor_18,resistance,Vitality,12.0
armor_18,resistance,Poise,9.0
armor_19,damage_negation,Physical,4.6
armor_19,damage_negation,VS Strike,3.6
armor_19,damage_negation,VS Slash,4.2
armor_19,damage_negation,VS Pierce,3.8
armor_19,damage_negation,Magic,3.4
armor_19,damage_negation,Fire,4.2
armor_19,damage_negation,Lightning,2.5
armor_19,damage_negation,Holy,3.1
armor_19,resistance,Immunity,12.0
armor_19,resistance,Robustness,20.0
armor_19,resistance,Focus,9.0
armor_19,resistance,Vitality,10.0
armor_19,resistance,Poise,6.0
armor_20,damage_negation,Physical,4.3
armor_20,damage_negation,VS Strike,3.3
armor_20,damage_negation,VS Slash,3.9
armor_20,damage_negation,VS Pierce,3.5
armor_20,damage_negation,Magic,3.0
armor_20,damage_negation,Fire,3.9
armor_20,damage_negation,Lightning,2.2
armor_20,damage_negation,Holy,2.7
armor_20,resistance,Immunity,10.0
armor_20,resistance,Robustness,16.0
armor_20,resistance,Focus,7.0
armor_20,resistance,Vitality,9.0
armor_20,resistance,Poise,6.0
armor_21,damage_negation,Physical,4.8
armor_21,damage_negation,VS Strike,4.0
armor_21,damage_negation,VS Slash,4.4
armor_21,damage_negation,VS Pierce,4.0
armor_21,damage_negation,Magic,3.8
armor_21,damage_negation,Fire,4.4
armor_21,damage_negation,Lightning,2.8
armor_21,damage_negation,Holy,3.4
armor_21,resistance,Immunity,14.0
armor_21,resistance,Robustness,22.0
armor_21,resistance,Focus,10.0
armor_21,resistance,Vitality,11.0
armor_21,resistance,Poise,7.0
armor_22,damage_negation,Physical,4.4
armor_22,damage_negation,VS Strike,3.6
armor_22,damage_negation,VS Slash,4.4
armor_22,damage_negation,VS Pierce,3.8
armor_22,damage_negation,Magic,3.1
armor_22,damage_negation,Fire,4.0
armor_22,damage_negation,Lightning,2.8
armor_22,damage_negation,Holy,3.1
armor_22,resistance,Immunity,12.0
armor_22,resistance,Robustness,20.0
armor_22,resistance,Focus,9.0
armor_22,resistance,Vitality,10.0
armor_22,resistance,Poise,6.0
armor_23,damage_negation,Physical,1.4
armor_23,damage_negation,VS Strike,2.1
armor_23,damage_negation,VS Slash,1.8
armor_23,damage_negation,VS Pierce,1.4
armor_23,damage_negation,Magic,1.8
armor_23,damage_negation,Fire,2.3
armor_23,damage_negation,Lightning,2.8
armor_23,damage_negation,Holy,2.3
armor_23,resistance,Immunity,16.0
armor_23,resistance,Robustness,10.0
armor_23,resistance,Focus,12.0
armor_23,resistance,Vitality,11.0
armor_23,resistance,Poise,2.0
armor_24,damage_negation,Physical,3.1
armor_24,damage_negation,VS Strike,3.6
armor_24,damage_negation,VS Slash,3.4
armor_24,damage_negation,VS Pierce,3.1
armor_24,damage_negation,Magic,3.4
armor_24,damage_negation,Fire,3.8
armor_24,damage_negation,Lightning,4.2
armor_24,damage_negation,Holy,3.8
armor_24,resistance,Immunity,26.0
armor_24,resistance,Robustness,15.0
armor_24,resistance,Focus,22.0
armor_24,resistance,Vitality,20.0
armor_24,resistance,Poise,5.0
armor_25,damage_negation,Physical,4.4
armor_25,damage_negation,VS Strike,3.8
armor_25,damage_negation,VS Slash,4.4
armor_25,damage_negation,VS Pierce,4.4
armor_25,damage_negation,Magic,3.4
armor_25,damage_negation,Fire,3.4
armor_25,damage_negation,Lightning,4.4
armor_25,damage_negation,Holy,2.8
armor_25,resistance,Immunity,12.0
armor_25,resistance,Robustness,20.0
armor_25,resistance,Focus,8.0
armor_25,resistance,Vitality,20.0
armor_25,resistance,Poise,7.0
armor_26,damage_negation,Physical,2.5
armor_26,damage_negation,VS Strike,0.9
armor_26,damage_negation,VS Slash,2.3
armor_26,damage_negation,VS Pierce,2.1
armor_26,damage_negation,Magic,4.6
armor_26,damage_negation,Fire,4.6
armor_26,damage_negation,Lightning,4.6
armor_26,damage_negation,Holy,4.9
armor_26,resistance,Immunity,22.0
armor_26,resistance,Robustness,11.0
armor_26,resistance,Focus,0.0
armor_26,resistance,Vitality,33.0
armor_26,resistance,Poise,4.0
armor_27,damage_negation,Physical,3.4
armor_27,damage_negation,VS Strike,3.4
armor_27,damage_negation,VS Slash,3.1
armor_27,damage_negation,VS Pierce,3.8
armor_27,damage_negation,Magic,3.6
armor_27,damage_negation,Fire,4.4
armor_27,damage_negation,Lightning,4.2
armor_27,damage_negation,Holy,3.6
armor_27,resistance,Immunity,26.0
armor_27,resistance,Robustness,18.0
armor_27,resistance,Focus,24.0
armor_27,resistance,Vitality,26.0
armor_27,resistance,Poise,5.0
armor_28,damage_negation,Physical,3.1
armor_28,damage_negation,VS Strike,3.1
armor_28,damage_negation,VS Slash,2.8
armor_28,damage_negation,VS Pierce,3.6
armor_28,damage_negation,Magic,3.4
armor_28,damage_negation,Fire,4.2
armor_28,damage_negation,Lightning,4.0
armor_28,damage_negation,Holy,3.4
armor_28,resistance,Immunity,24.0
armor_28,resistance,Robustness,16.0
armor_28,resistance,Focus,23.0
armor_28,resistance,Vitality,24.0
armor_28,resistance,Poise,5.0
armor_29,damage_negation,Physical,3.4
armor_29,damage_negation,VS Strike,3.6
armor_29,damage_negation,VS Slash,3.6
armor_29,damage_negation,VS Pierce,3.1
armor_29,damage_negation,Magic,4.0
armor_29,damage_negation,Fire,3.8
armor_29,damage_negation,Lightning,4.2
armor_29,damage_negation,Holy,4.2
armor_29,resistance,Immunity,24.0
armor_29,resistance,Robustness,14.0
armor_29,resistance,Focus,21.0
armor_29,resistance,Vitality,20.0
armor_29,resistance,Poise,6.0
armor_30,damage_negation,Physical,4.4
armor_30,damage_negation,VS Strike,3.4
armor_30,damage_negation,VS Slash,4.2
armor_30,damage_negation,VS Pierce,4.2
armor_30,damage_negation,Magic,2.5
armor_30,damage_negation,Fire,3.1
armor_30,damage_negation,Lightning,2.1
armor_30,damage_negation,Holy,2.8
armor_30,resistance,Immunity,11.0
armor_30,resistance,Robustness,20.0
armor_30,resistance,Focus,8.0
armor_30,resistance,Vitality,8.0
armor_30,resistance,Poise,6.0
armor_31,damage_negation,Physical,4.8
armor_31,damage_negation,VS Strike,4.4
armor_31,damage_negation,VS Slash,4.6
armor_31,damage_negation,VS Pierce,4.0
armor_31,damage_negation,Magic,3.6
armor_31,damage_negation,Fire,3.6
armor_31,damage_negation,Lightning,3.1
armor_31,damage_negation,Holy,3.1
armor_31,resistance,Immunity,13.0
armor_31,resistance,Robustness,25.0
armor_31,resistance,Focus,0.0
armor_31,resistance,Vitality,9.0
armor_31,resistance,Poise,7.0
armor_32,damage_negation,Physical,4.8
armor_32,damage_negation,VS Strike,4.4
armor_32,damage_negation,VS Slash,4.8
armor_32,damage_negation,VS Pierce,4.4
armor_32,damage_negation,Magic,3.8
armor_32,damage_negation,Fire,4.0
armor_32,damage_negation,Lightning,3.6
armor_32,damage_negation,Holy,3.8
armor_32,resistance,Immunity,14.0
armor_32,resistance,Robustness,23.0
armor_32,resistance,Focus,0.0
armor_32,resistance,Vitality,11.0
armor_32,resistance,Poise,8.0
armor_33,damage_negation,Physical,4.8
armor_33,damage_negation,VS Strike,4.4
armor_33,damage_negation,VS Slash,4.4
armor_33,damage_negation,VS Pierce,4.2
armor_33,damage_negation,Magic,3.8
armor_33,damage_negation,Fire,3.6
armor_33,damage_negation,Lightning,2.8
armor_33,damage_negation,Holy,3.1
armor_33,resistance,Immunity,14.0
armor_33,resistance,Robustness,22.0
armor_33,resistance,Focus,0.0
armor_33,resistance,Vitality,9.0
armor_33,resistance,Poise,8.0
armor_34,damage_negation,Physical,4.8
armor_34,damage_negation,VS Strike,4.2
armor_34,damage_negation,VS Slash,5.0
armor_34,damage_negation,VS Pierce,4.6
armor_34,damage_negation,Magic,4.5
armor_34,damage_negation,Fire,4.2
armor_34,damage_negation,Lightning,3.4
armor_34,damage_negation,Holy,3.8
armor_34,resistance,Immunity,15.0
armor_34,resistance,Robustness,24.0
armor_34,resistance,Focus,10.0
armor_34,resistance,Vitality,10.0
armor_34,resistance,Poise,8.0
armor_35,damage_negation,Physical,6.1
armor_35,damage_negation,VS Strike,5.2
armor_35,damage_negation,VS Slash,6.1
armor_35,damage_negation,VS Pierce,6.1
armor_35,damage_negation,Magic,4.4
armor_35,damage_negation,Fire,4.6
armor_35,damage_negation,Lightning,4.0
armor_35,damage_negation,Holy,4.6
armor_35,resistance,Immunity,22.0
armor_35,resistance,Robustness,31.0
armor_35,resistance,Focus,11.0
armor_35,resistance,Vitality,15.0
armor_35,resistance,Poise,10.0
armor_36,damage_negation,Physical,2.8
armor_36,damage_negation,VS Strike,3.1
armor_36,damage_negation,VS Slash,2.5
armor_36,damage_negation,VS Pierce,2.8
armor_36,damage_negation,Magic,2.8
armor_36,damage_negation,Fire,3.1
armor_36,damage_negation,Lightning,3.4
armor_36,damage_negation,Holy,3.4
armor_36,resistance,Immunity,23.0
armor_36,resistance,Robustness,14.0
armor_36,resistance,Focus,15.0
armor_36,resistance,Vitality,20.0
armor_36,resistance,Poise,5.0
armor_37,damage_negation,Physical,2.5
armor_37,damage_negation,VS Strike,3.1
armor_37,damage_negation,VS Slash,2.8
armor_37,damage_negation,VS Pierce,2.8
armor_37,damage_negation,Magic,3.6
armor_37,damage_negation,Fire,3.8
armor_37,damage_negation,Lightning,3.8
armor_37,damage_negation,Holy,3.1
armor_37,resistance,Immunity,33.0
armor_37,resistance,Robustness,14.0
armor_37,resistance,Focus,18.0
armor_37,resistance,Vitality,18.0
armor_37,resistance,Poise,4.0
armor_38,damage_negation,Physical,7.0
armor_38,damage_negation,VS Strike,5.9
armor_38,damage_negation,VS Slash,6.7
armor_38,damage_negation,VS Pierce,6.8
armor_38,damage_negation,Magic,4.9
armor_38,damage_negation,Fire,7.2
armor_38,damage_negation,Lightning,4.6
armor_38,damage_negation,Holy,4.9
armor_38,resistance,Immunity,29.0
armor_38,resistance,Robustness,26.0
armor_38,resistance,Focus,0.0
armor_38,resistance,Vitality,24.0
armor_38,resistance,Poise,13.0
armor_39,damage_negation,Physical,0.9
armor_39,damage_negation,VS Strike,0.9
armor_39,damage_negation,VS Slash,1.4
armor_39,damage_negation,VS Pierce,-0.8
armor_39,damage_negation,Magic,4.4
armor_39,damage_negation,Fire,3.8
armor_39,damage_negation,Lightning,4.4
armor_39,damage_negation,Holy,4.4
armor_39,resistance,Immunity,12.0
armor_39,resistance,Robustness,4.0
armor_39,resistance,Focus,24.0
armor_39,resistance,Vitality,24.0
armor_39,resistance,Poise,2.0
armor_40,damage_negation,Physical,6.8
armor_40,damage_negation,VS Strike,6.1
armor_40,damage_negation,VS Slash,6.8
armor_40,damage_negation,VS Pierce,6.7
armor_40,damage_negation,Magic,4.7
armor_40,damage_negation,Fire,4.9
armor_40,damage_negation,Lightning,4.5
armor_40,damage_negation,Holy,4.6
armor_40,resistance,Immunity,26.0
armor_40,resistance,Robustness,33.0
armor_40,resistance,Focus,18.0
armor_40,resistance,Vitality,18.0
armor_40,resistance,Poise,11.0
armor_41,damage_negation,Physical,8.0
armor_41,damage_negation,VS Strike,6.9
armor_41,damage_negation,VS Slash,7.7
armor_41,damage_negation,VS Pierce,7.7
armor_41,damage_negation,Magic,5.3
armor_41,damage_negation,Fire,5.2
armor_41,damage_negation,Lightning,5.5
armor_41,damage_negation,Holy,5.1
armor_41,resistance,Immunity,32.0
armor_41,resistance,Robustness,34.0
armor_41,resistance,Focus,22.0
armor_41,resistance,Vitality,21.0
armor_41,resistance,Poise,14.0
armor_42,damage_negation,Physical,7.0
armor_42,damage_negation,VS Strike,5.9
armor_42,damage_negation,VS Slash,7.0
armor_42,damage_negation,VS Pierce,7.0
armor_42,damage_negation,Magic,4.6
armor_42,damage_negation,Fire,5.2
armor_42,damage_negation,Lightning,4.6
armor_42,damage_negation,Holy,4.6
armor_42,resistance,Immunity,26.0
armor_42,resistance,Robustness,44.0
armor_42,resistance,Focus,18.0
armor_42,resistance,Vitality,18.0
armor_42,resistance,Poise,13.0
armor_43,damage_negation,Physical,1.8
armor_43,damage_negation,VS Strike,1.4
armor_43,damage_negation,VS Slash,1.8
armor_43,damage_negation,VS Pierce,1.8
armor_43,damage_negation,Magic,4.6
armor_43,damage_negation,Fire,4.2
armor_43,damage_negation,Lightning,4.4
armor_43,damage_negation,Holy,4.6
armor_43,resistance,Immunity,16.0
armor_43,resistance,Robustness,10.0
armor_43,resistance,Focus,29.0
armor_43,resistance,Vitality,31.0
armor_43,resistance,Poise,2.0
armor_44,damage_negation,Physical,0.9
armor_44,damage_negation,VS Strike,0.2
armor_44,damage_negation,VS Slash,0.9
armor_44,damage_negation,VS Pierce,0.9
armor_44,damage_negation,Magic,4.4
armor_44,damage_negation,Fire,3.8
armor_44,damage_negation,Lightning,4.0
armor_44,damage_negation,Holy,4.4
armor_44,resistance,Immunity,12.0
armor_44,resistance,Robustness,7.0
armor_44,resistance,Focus,23.0
armor_44,resistance,Vitality,24.0
armor_44,resistance,Poise,1.0
armor_45,damage_negation,Physical,4.0
armor_45,damage_negation,VS Strike,3.1
armor_45,damage_negation,VS Slash,4.0
armor_45,damage_negation,VS Pierce,3.8
armor_45,damage_negation,Magic,2.5
armor_45,damage_negation,Fire,3.1
armor_45,damage_negation,Lightning,2.1
armor_45,damage_negation,Holy,2.5
armor_45,resistance,Immunity,12.0
armor_45,resistance,Robustness,23.0
armor_45,resistance,Focus,10.0
armor_45,resistance,Vitality,10.0
armor_45,resistance,Poise,5.0
armor_46,damage_negation,Physical,4.6
armor_46,damage_negation,VS Strike,4.2
armor_46,damage_negation,VS Slash,4.8
armor_46,damage_negation,VS Pierce,4.2
armor_46,damage_negation,Magic,4.4
armor_46,damage_negation,Fire,3.4
armor_46,damage_negation,Lightning,3.6
armor_46,damage_negation,Holy,3.1
armor_46,resistance,Immunity,12.0
armor_46,resistance,Robustness,20.0
armor_46,resistance,Focus,9.0
armor_46,resistance,Vitality,9.0
armor_46,resistance,Poise,7.0
armor_47,damage_negation,Physical,3.1
armor_47,damage_negation,VS Strike,3.1
armor_47,damage_negation,VS Slash,2.8
armor_47,damage_negation,VS Pierce,3.1
armor_47,damage_negation,Magic,3.8
armor_47,damage_negation,Fire,4.0
armor_47,damage_negation,Lightning,3.8
armor_47,damage_negation,Holy,3.1
armor_47,resistance,Immunity,22.0
armor_47,resistance,Robustness,14.0
armor_47,resistance,Focus,18.0
armor_47,resistance,Vitality,20.0
armor_47,resistance,Poise,4.0
armor_48,damage_negation,Physical,1.9
armor_48,damage_negation,VS Strike,1.9
armor_48,damage_negation,VS Slash,1.9
armor_48,damage_negation,VS Pierce,1.6
armor_48,damage_negation,Magic,4.0
armor_48,damage_negation,Fire,3.6
armor_48,damage_negation,Lightning,3.8
armor_48,damage_negation,Holy,4.0
armor_48,resistance,Immunity,15.0
armor_48,resistance,Robustness,10.0
armor_48,resistance,Focus,25.0
armor_48,resistance,Vitality,22.0
armor_48,resistance,Poise,2.0
armor_49,damage_negation,Physical,-5.82
armor_49,damage_negation,VS Strike,-5.6
armor_49,damage_negation,VS Slash,-5.82
armor_49,damage_negation,VS Pierce,-5.82
armor_49,damage_negation,Magic,-4.94
armor_49,damage_negation,Fire,-4.94
armor_49,damage_negation,Lightning,-4.94
armor_49,damage_negation,Holy,-5.05
armor_49,resistance,Immunity,42.0
armor_49,resistance,Robustness,22.0
armor_49,resistance,Focus,27.0
armor_49,resistance,Vitality,26.0
armor_49,resistance,Poise,6.0
armor_50,damage_negation,Physical,1.8
armor_50,damage_negation,VS Strike,1.4
armor_50,damage_negation,VS Slash,1.4
armor_50,damage_negation,VS Pierce,1.4
armor_50,damage_negation,Magic,4.6
armor_50,damage_negation,Fire,4.5
armor_50,damage_negation,Lightning,4.6
armor_50,damage_negation,Holy,4.5
armor_50,resistance,Immunity,18.0
armor_50,resistance,Robustness,9.0
armor_50,resistance,Focus,31.0
armor_50,resistance,Vitality,27.0
armor_50,resistance,Poise,3.0
armor_51,damage_negation,Physical,2.8
armor_51,damage_negation,VS Strike,2.3
armor_51,damage_negation,VS Slash,2.5
armor_51,damage_negation,VS Pierce,2.5
armor_51,damage_negation,Magic,5.8
armor_51,damage_negation,Fire,4.6
armor_51,damage_negation,Lightning,4.7
armor_51,damage_negation,Holy,5.0
armor_51,resistance,Immunity,23.0
armor_51,resistance,Robustness,14.0
armor_51,resistance,Focus,44.0
armor_51,resistance,Vitality,39.0
armor_51,resistance,Poise,4.0
armor_52,damage_negation,Physical,2.8
armor_52,damage_negation,VS Strike,3.1
armor_52,damage_negation,VS Slash,3.1
armor_52,damage_negation,VS Pierce,3.1
armor_52,damage_negation,Magic,3.1
armor_52,damage_negation,Fire,3.4
armor_52,damage_negation,Lightning,3.6
armor_52,damage_negation,Holy,3.1
armor_52,resistance,Immunity,30.0
armor_52,resistance,Robustness,14.0
armor_52,resistance,Focus,14.0
armor_52,resistance,Vitality,16.0
armor_52,resistance,Poise,4.0
armor_53,damage_negation,Physical,6.8
armor_53,damage_negation,VS Strike,5.4
armor_53,damage_negation,VS Slash,7.0
armor_53,damage_negation,VS Pierce,6.3
armor_53,damage_negation,Magic,4.8
armor_53,damage_negation,Fire,4.8
armor_53,damage_negation,Lightning,4.6
armor_53,damage_negation,Holy,4.7
armor_53,resistance,Immunity,26.0
armor_53,resistance,Robustness,35.0
armor_53,resistance,Focus,16.0
armor_53,resistance,Vitality,18.0
armor_53,resistance,Poise,11.0
armor_54,damage_negation,Physical,6.7
armor_54,damage_negation,VS Strike,5.2
armor_54,damage_negation,VS Slash,6.8
armor_54,damage_negation,VS Pierce,6.1
armor_54,damage_negation,Magic,4.7
armor_54,damage_negation,Fire,4.7
armor_54,damage_negation,Lightning,4.6
armor_54,damage_negation,Holy,4.6
armor_54,resistance,Immunity,21.0
armor_54,resistance,Robustness,30.0
armor_54,resistance,Focus,13.0
armor_54,resistance,Vitality,14.0
armor_54,resistance,Poise,11.0
armor_55,damage_negation,Physical,6.3
armor_55,damage_negation,VS Strike,5.9
armor_55,damage_negation,VS Slash,6.8
armor_55,damage_negation,VS Pierce,6.7
armor_55,damage_negation,Magic,4.6
armor_55,damage_negation,Fire,4.9
armor_55,damage_negation,Lightning,4.6
armor_55,damage_negation,Holy,4.8
armor_55,resistance,Immunity,24.0
armor_55,resistance,Robustness,39.0
armor_55,resistance,Focus,18.0
armor_55,resistance,Vitality,16.0
armor_55,resistance,Poise,11.0
armor_56,damage_negation,Physical,2.8
armor_56,damage_negation,VS Strike,3.1
armor_56,damage_negation,VS Slash,2.8
