id,name,image,description,type,damage negation,resistance,weight,special effect,how to acquire,in-game section,dlc
10,Helm of Night,http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_night_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Bottomless black helm, cool to the touch.Flowing lines in the seeming shape of a fingerprint adorn the surface. Imprisons the wearer in utterly lightless dark.Bestowed upon those born deep underground, ordaining them as Swordhands of Night.",helm,"[{'Physical': '2.5', 'VS Strike': '2.5', 'VS Slash': '2.8', 'VS Pierce': '2.8', 'Magic': '4.4', 'Fire': '3.4', 'Lightning': '3.4', 'Holy': '4.5'}]","[{'Immunity': '23', 'Robustness': '14', 'Focus': '20', 'Vitality': '20', 'Poise': '4'}]",3,,"Bonny Gaol: Use the jar lift near the bridge twice to reach the top level of the gaol. First, hop on the jar, go to the bridge level, and activate the switch. Ride the jar lift for the second time to go to the top level. You can find the Night Set on a corpse laying on top of a table. [See SOTE Elden Ring DLC Map] [Video Link]",6,1
11,Igon's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. This tattered protective-wear is shaped like a bugle. The poor scavenger of battlefields found honor through Dragon Communion.",helm,"[{'Physical': '3.1', 'VS Strike': '3.4', 'VS Slash': '3.1', 'VS Pierce': '3.1', 'Magic': '3.6', 'Fire': '3.8', 'Lightning': '4.0', 'Holy': '3.6'}]","[{'Immunity': '26', 'Robustness': '16', 'Focus': '22', 'Vitality': '22', 'Poise': '5'}]",3.3,,Loot Igon after defeating Bayle the Dread.,14,1
12,Igon's Helm (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/igons_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the broken drake warrior Igon, from a set of armor comprised of a miscellany of parts. Patched with scraps of cloth. The poor scavenger of battlefields found honor through Dragon Communion.",helm,"[{'Physical': '2.8', 'VS Strike': '3.1', 'VS Slash': '2.8', 'VS Pierce': '2.8', 'Magic': '3.4', 'Fire': '3.6', 'Lightning': '3.8', 'Holy': '3.4'}]","[{'Immunity': '24', 'Robustness': '15', 'Focus': '20', 'Vitality': '20', 'Poise': '5'}]",3,,Alter Igon's Helm at any Site of Grace,14,1
13,Wise Man's Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/wise_mans_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"The iron mask of Sir Ansbach, giving the appearance of a quiet, wise, old bearded man. But an old fear lurks beneath, together with the cold, unflinching discipline that once honed his blade, now employed to enhance Blood Oath and dynastic skills.",helm,"[{'Physical': '4.2', 'VS Strike': '3.6', 'VS Slash': '4.4', 'VS Pierce': '4.0', 'Magic': '3.1', 'Fire': '4.0', 'Lightning': '2.3', 'Holy': '3.1'}]","[{'Immunity': '11', 'Robustness': '24', 'Focus': '9', 'Vitality': '10', 'Poise': '7'}]",4,Enhances Blood Oath and dynastic skills by 5%.,"Complete Sir Ansbach's questline all the way through the end, and side with him when facing Leda, and then Promised Consort Radahn/ Radahn, Consort of Miquella. After the fight is over, Sir Ansbach's body will be near the site of grace, alongside with his equipment and his Incantation. [Map Link]",19,1
14,Freyja's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/freyjas_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden helm of Redmane Freyja, member of General Radahn's most distinguished knights. A hideous scarlet wound was once hewn into the center of her face. Later, Miquella gently put his lips to it and the unfading scar became the compass that Freyja would thereafter follow.",helm,"[{'Physical': '5.5', 'VS Strike': '4.2', 'VS Slash': '4.8', 'VS Pierce': '4.8', 'Magic': '4.0', 'Fire': '4.2', 'Lightning': '3.8', 'Holy': '4.2'}]","[{'Immunity': '13', 'Robustness': '28', 'Focus': '9', 'Vitality': '12', 'Poise': '8'}]",5.8,,Drop by Redmane Freyja.,19,1
15,Helm of Solitude,http://eldenring.wiki.fextralife.com/file/Elden-Ring/helm_of_solitude_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Steel helm of the Knights of the Solitary Gaol. Part of a heavy armor set that covers the whole body in overlapping plates of steel. The nameless mausoleums of the realm of shadow are said to hold the spirits of warriors who lost their names, or their hearts.",helm,"[{'Physical': '6.8', 'VS Strike': '6.4', 'VS Slash': '6.7', 'VS Pierce': '6.3', 'Magic': '4.7', 'Fire': '5.2', 'Lightning': '4.8', 'Holy': '4.9'}]","[{'Immunity': '26', 'Robustness': '27', 'Focus': '42', 'Vitality': '22', 'Poise': '14'}]",10.3,,Can be obtained after defeating the Blackgaol Knight found inside Northern Nameless Mausoleum. [See Shadow of the Erdtree Map],1,1
16,Messmer Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmer_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by soldiers who serve Messmer the Impaler. The iron helm features a visor. Though the engraving upon the forehead is a Scadutree design, it is etched in gold. A small consolation to those forced to wage a war without grace or honor.",helm,"[{'Physical': '4.4', 'VS Strike': '3.6', 'VS Slash': '4.4', 'VS Pierce': '4.2', 'Magic': '3.1', 'Fire': '3.6', 'Lightning': '2.5', 'Holy': '3.1'}]","[{'Immunity': '12', 'Robustness': '22', 'Focus': '9', 'Vitality': '9', 'Poise': '7'}]",4,,Drop from Messmer Soldiers,17,1
17,Black Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/black_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by the Black Knights, servants of Messmer the Impaler. Black iron ornamented with gold. A rotten odor stubbornly clings to it. Perhaps it arises from the tainted nature of the blood that splattered upon it. Or perhaps it is the wearer's own blackened soul, festering after endless slaughter.",helm,"[{'Physical': '5.2', 'VS Strike': '4.4', 'VS Slash': '5.2', 'VS Pierce': '5.8', 'Magic': '4.4', 'Fire': '4.6', 'Lightning': '3.8', 'Holy': '4.0'}]","[{'Immunity': '16', 'Robustness': '26', 'Focus': '10', 'Vitality': '9', 'Poise': '9'}]",5.9,,"Black Knight Set pieces are dropped from Black Knights, found throughout the Lands of Shadow.",17,1
18,Rakshasa Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/rakshasa_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Rakshasa, soaked in the spurting blood of her victims. Tatters of ragged cloth jut out haphazardly, as if her lust for carnage threatens to break free.Increases damage dealt to foes, but greatly increases damage taken by the wearer.Cut down and devour. Only those who repeat the cycle without rest can truly subvert the self and become Rakshasa.",helm,"[{'Physical': '2.7', 'VS Strike': '2.3', 'VS Slash': '3.1', 'VS Pierce': '2.9', 'Magic': '2.1', 'Fire': '2.5', 'Lightning': '1.9', 'Holy': '2.1'}]","[{'Immunity': '15', 'Robustness': '26', 'Focus': '12', 'Vitality': '12', 'Poise': '9'}]",5.5,Boosts All Damage by 2%,Dropped by Rakshasa in Eastern Nameless Mausoleum. This area can only be accessed by using the ladder in Shadow Keep to get down to a special teleport coffin (this Elden Ring Map location). This will take you to Ruins of Unte and you must follow the cliffs downstream and then carefully drop down to bottom level to reach the mausoleum. [Shadow of the Erdtree Map],6,1
19,Fire Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/fire_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Pointed helm of the Fire Knights under Messmer the Impaler's personal command. Slightly increases maximum HP, stamina, and maximum equip load. Each and every knight hailed from a renowned family of the Erdtree's upper echelons, but were shunned and chased from their homes after pledging allegiance to Messmer as their master.",helm,"[{'Physical': '4.6', 'VS Strike': '3.6', 'VS Slash': '4.2', 'VS Pierce': '3.8', 'Magic': '3.4', 'Fire': '4.2', 'Lightning': '2.5', 'Holy': '3.1'}]","[{'Immunity': '12', 'Robustness': '20', 'Focus': '9', 'Vitality': '10', 'Poise': '6'}]",4,"Slightly increases maximum HP by 2%, Stamina by 5%, and Equip Load by 4%.",Drop by Fire Knights in the Shadow Keep,17,1
20,Death Mask Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_mask_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Wego, elder among the Fire Knights. Two warped death masks stacked one atop the other. Reduces FP used to summon spirits. Gnawed at by loneliness, the old man turned his attention to the spirituality of Messmer's flame, using it in a rite of resurrection. Yet the soulless bodies he brought to life were no comfort to poor Wego.",helm,"[{'Physical': '4.3', 'VS Strike': '3.3', 'VS Slash': '3.9', 'VS Pierce': '3.5', 'Magic': '3.0', 'Fire': '3.9', 'Lightning': '2.2', 'Holy': '2.7'}]","[{'Immunity': '10', 'Robustness': '16', 'Focus': '7', 'Vitality': '9', 'Poise': '6'}]",3.4,Reduces FP to summon spirits by 12%,"Drops from a Fire Knight miniboss in the cathedral area of Shadow Keep, after draining out the water.",17,1
21,Winged Serpent Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/winged_serpent_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of Kood, captain of the Fire Knights. A winged serpent perches atop it. Enhances Fire Knight skills. The winged serpent is the token creature of Messmer's military forces. It is a wise friend which keeps the base serpent at bay and holds its power in check.",helm,"[{'Physical': '4.8', 'VS Strike': '4.0', 'VS Slash': '4.4', 'VS Pierce': '4.0', 'Magic': '3.8', 'Fire': '4.4', 'Lightning': '2.8', 'Holy': '3.4'}]","[{'Immunity': '14', 'Robustness': '22', 'Focus': '10', 'Vitality': '11', 'Poise': '7'}]",4.6,Enhances Fire Knight skills by 10%.,"Shadow Keep: Sixth Floor: Climb the statues once you've used the lever to move them. Head outside, turn right and head up the stairs, turn left to find a Fire Knight at the end of the bridge. Drops this item and Ash of War: Flame Spear. [See Shadow of the Erdtree Map]",17,1
22,Salza's Hood,http://eldenring.wiki.fextralife.com/file/Elden-Ring/salzas_hood_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Hood of Salza, sage of the Fire Knights.A prodigious amount of cloth wound around it, giving the impression of a greatly swollen head, and wearing it increases intelligence.A disciple of the elder Wego, he refused to burn down an old ruin, at the risk of his own life.",helm,"[{'Physical': '4.4', 'VS Strike': '3.6', 'VS Slash': '4.4', 'VS Pierce': '3.8', 'Magic': '3.1', 'Fire': '4.0', 'Lightning': '2.8', 'Holy': '3.1'}]","[{'Immunity': '12', 'Robustness': '20', 'Focus': '9', 'Vitality': '10', 'Poise': '6'}]",3.8,Increases Intelligence +2,"From the West Rampart Site of Grace, take the bridge all the way. Use Torrent to avoid being trappped in the Rain of Fire. Defeat the Fire Knight at the end to obtain this and Rain of Fire. [See Shadow of the Erdtree Map]",18,1
23,Leather Headband,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_headband_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Headband worn by highland warriors, made of woven leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",helm,"[{'Physical': '1.4', 'VS Strike': '2.1', 'VS Slash': '1.8', 'VS Pierce': '1.4', 'Magic': '1.8', 'Fire': '2.3', 'Lightning': '2.8', 'Holy': '2.3'}]","[{'Immunity': '16', 'Robustness': '10', 'Focus': '12', 'Vitality': '11', 'Poise': '2'}]",1,,"To the northwest of the Ravine North Site of Grace, there is a forest inhabited by runebears. At the center of this forest, you'll find a large stone with several items on it, this whole armor set is at the top of the stone. [See Shadow of the Erdtree Map]",7,1
24,Leather Crown,http://eldenring.wiki.fextralife.com/file/Elden-Ring/leather_crown_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm worn by highland warriors, pieced together using leather. The white favor represents their home settlement. Highland warriors are known to be hunters of bears; to them, there is no act more glorious than the subjugation of a savage beast.",helm,"[{'Physical': '3.1', 'VS Strike': '3.6', 'VS Slash': '3.4', 'VS Pierce': '3.1', 'Magic': '3.4', 'Fire': '3.8', 'Lightning': '4.2', 'Holy': '3.8'}]","[{'Immunity': '26', 'Robustness': '15', 'Focus': '22', 'Vitality': '20', 'Poise': '5'}]",3.3,,"Found laying on the grounds in the middle of the woods, alongside the rest of the Highland Warrior Set. [Map Link]",6,1
25,Death Knight Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/death_knight_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Golden helm of the Death Knights, whose own death masks served as the visards of their armor. Enhances skills and incantations of the capital's ancient dragon cult. The decayed golden wheel that adorns it represents their unbroken loyalty to Godwyn, he who became Prince of Death.",helm,"[{'Physical': '4.4', 'VS Strike': '3.8', 'VS Slash': '4.4', 'VS Pierce': '4.4', 'Magic': '3.4', 'Fire': '3.4', 'Lightning': '4.4', 'Holy': '2.8'}]","[{'Immunity': '12', 'Robustness': '20', 'Focus': '8', 'Vitality': '20', 'Poise': '7'}]",4.6,Enhances skills and incantations of the ancient dragon cult by 2%.,"Darklight Catacombs, on a Death Knight corpse",15,1
26,Curseblade Mask,http://eldenring.wiki.fextralife.com/file/Elden-Ring/curseblade_mask_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A mask affixed with a crown of tangled horns, worn by those who would invoke divinity. Divine invocation heightens the dexterity of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this mask.",helm,"[{'Physical': '2.5', 'VS Strike': '0.9', 'VS Slash': '2.3', 'VS Pierce': '2.1', 'Magic': '4.6', 'Fire': '4.6', 'Lightning': '4.6', 'Holy': '4.9'}]","[{'Immunity': '22', 'Robustness': '11', 'Focus': '0', 'Vitality': '33', 'Poise': '4'}]",2.2,"Increases Dexterity by +5, but reduces the flask value by -7%",Drop by Curseblade enemies.,1,1
27,Messmer's Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents.Slightly enhances incantations of Messmer's flame as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",helm,"[{'Physical': '3.4', 'VS Strike': '3.4', 'VS Slash': '3.1', 'VS Pierce': '3.8', 'Magic': '3.6', 'Fire': '4.4', 'Lightning': '4.2', 'Holy': '3.6'}]","[{'Immunity': '26', 'Robustness': '18', 'Focus': '24', 'Vitality': '26', 'Poise': '5'}]",3.6,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Purchase from Finger Reader Enia at Roundtable Hold after defeating Messmer the Impaler,17,1
28,Messmer's Helm (Altered),http://eldenring.wiki.fextralife.com/file/Elden-Ring/messmers_helm_(altered)_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Black helm of Messmer the Impaler, crowned with two intertwined winged serpents. Slightly enhances incantations of Messmer's fire as well as Fire Knight skills.The winged snakes were Messmer's constant companions.They were there when the base serpent was sealed away behind his eye. They were there through his eternity of suffering. They will accompany him yet, in his hideous new form born when he destroyed the grace granted by his mother. They have accepted his fate as much as he.",helm,"[{'Physical': '3.1', 'VS Strike': '3.1', 'VS Slash': '2.8', 'VS Pierce': '3.6', 'Magic': '3.4', 'Fire': '4.2', 'Lightning': '4.0', 'Holy': '3.4'}]","[{'Immunity': '24', 'Robustness': '16', 'Focus': '23', 'Vitality': '24', 'Poise': '5'}]",3.3,Slightly enhances incantations of Messmer's fire and Fire Knight skills by 3%.,Alter Messmer's Helm at any site of grace.,17,1
29,Gravebird Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/gravebird_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Stone helm with a tinge of green. One of a set of armor pieces cast in the image of the Gravebird. Empowers spells which summon rings of spectral light. Gravebirds are ancient golems, created to guard the spiritgraves built where all manners of Death ultimately drift.",helm,"[{'Physical': '3.4', 'VS Strike': '3.6', 'VS Slash': '3.6', 'VS Pierce': '3.1', 'Magic': '4.0', 'Fire': '3.8', 'Lightning': '4.2', 'Holy': '4.2'}]","[{'Immunity': '24', 'Robustness': '14', 'Focus': '21', 'Vitality': '20', 'Poise': '6'}]",3.6,Empowers spells which summon rings of spectral light by 15%.,"From the Spiral Rise site of grace, climb the spire until you get the elevator shortcut back down. Ride the lift down and jump off halfway into a central altar. [Map Link]",19,1
30,Common Soldier Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/common_soldier_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm of the rank-and-file soldiers of Messmer's army. A pitch-dark soot clings to it, much like the inner faces of the men who wore them.",helm,"[{'Physical': '4.4', 'VS Strike': '3.4', 'VS Slash': '4.2', 'VS Pierce': '4.2', 'Magic': '2.5', 'Fire': '3.1', 'Lightning': '2.1', 'Holy': '2.8'}]","[{'Immunity': '11', 'Robustness': '20', 'Focus': '8', 'Vitality': '8', 'Poise': '6'}]",3.8,,Drop by soldiers in Castle Ensis,5,1
31,Horned Warrior Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/horned_warrior_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"Helm featuring a crown of sturdy tangled horns, allowing the wearer to invoke divinity. Attire of the horned warriors, keepers of the tower. Divine invocation bolsters the strength of the wearer, but causes the blessing of the Erdtree to become nauseating, reducing the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",helm,"[{'Physical': '4.8', 'VS Strike': '4.4', 'VS Slash': '4.6', 'VS Pierce': '4.0', 'Magic': '3.6', 'Fire': '3.6', 'Lightning': '3.1', 'Holy': '3.1'}]","[{'Immunity': '13', 'Robustness': '25', 'Focus': '0', 'Vitality': '9', 'Poise': '7'}]",4.6,"Increases Strength by +5, but decreases healing from Flask of Crimson Tears by -7%.",Dropped from Horned Warriors,3,1
32,Divine Beast Helm,http://eldenring.wiki.fextralife.com/file/Elden-Ring/divine_beast_helm_helm_elden_ring_shadow_of_the_erdtree_dlc_wiki_guide_200px.png,"A helm of tangled horn attached to a divine beast mask, allowing the wearer to invoke divinity. Worn by divine beast warriors; the chosen of the horned warriors. Divine invocation heightens intensity of the storm alongside strength and dexterity, but reduces the restorative effect of drinking from a flask of sacred tears. Focus is also troubled by wearing this helm.",helm,"[{'Physical': '4.8', 'VS Strike': '4.4', 'VS Slash': '4.8', 'VS Pierce': '4.4', 'Magic': '3.8', 'Fire': '4.0', 'Lightning': '3.6', 'Holy': '3.8'}]","[{'Immunity': '14', 'Robustness': '23', 'Focus': '0', 'Vitality': '11', 'Poise': '8'}]",5.1,"Heightens intensity of the storm by 4%, boost Strength by +3 and Dexerity by +3, but reduces restorative effect of sacred tears by -9% and lower focus by -45","Dropped by Divine Beast Warriors, Enir Ilim",19,1
